education,skills,experience,certifications,projects,career
BCA,"SIEM, Firewall, Cryptography, Nmap, Linux, Wireshark, Network Security, Penetration Testing",4.2,Certified Ethical Hacker (CEH),Malware Reverse Engineering Sandbox,Cybersecurity Analyst
B.E,"Terraform, Jenkins, Linux, Cloud Architecture, Microservices",9.1,Microsoft Azure Fundamentals,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.Tech,"Python, NLP, MLOps, Pandas, Docker, Scikit-learn, Deep Learning, Machine Learning",3.9,DeepLearning.AI TensorFlow Developer,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
M.Tech,"Python, Tableau, SQL, MySQL, Power BI, Pandas, Data Analysis, Google Analytics",6.2,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
M.S,"Bash, Network Security, Wireshark, Nmap, SIEM, Firewall",0.4,Certified Ethical Hacker (CEH),Malware Reverse Engineering Sandbox,Cybersecurity Analyst
M.S,"Pandas, Python, Data Analysis, Power BI, SQL, R, Data Visualization, PostgreSQL",3.7,Google Data Analytics Certificate,Marketing Campaign ROI Tracker,Data Analyst
M.Tech,"Bash, Cybersecurity, Linux, Nmap, Burp Suite",3.2,None,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
BCA,"C#, Java, Algorithms, Git",6.4,AWS Certified Developer,Hospital Management Desktop App,Software Developer
M.S,"Business Intelligence, Power BI, Tableau, Python, SQL, Statistics, Pandas",2.1,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
M.Tech,"Spark, NLP, PyTorch, Pandas, SQL, Scikit-learn",5.1,None,Customer Churn Prediction Model,Data Scientist
B.E,"Pandas, NLP, Seaborn, TensorFlow, Machine Learning, Statistics",0.7,IBM Data Science Professional,Recommendation System for E-Commerce,Data Scientist
B.E,"REST API, Django, Node.js, React, HTML, Express, Bootstrap",0.7,None,Restaurant Food Ordering Web App,Web Developer
M.Tech,"Bash, Docker, Kubernetes, CI/CD, Prometheus, Terraform, Linux",1.8,Certified Kubernetes Administrator (CKA),Disaster Recovery Infrastructure as Code,Cloud Engineer
MCA,"PyTorch, SQL, Python, NumPy, TensorFlow, Big Data",10.0,None,Healthcare Fraud Detection Engine,Data Scientist
BCA,"Algorithms, Python, Java, Git, MySQL, OOP",5.1,None,Peer-to-Peer Chat Engine,Software Developer
M.Tech,"Vulnerability Assessment, Linux, Firewall, Ethical Hacking",9.3,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.E,"Node.js, CSS, HTML, React, Express, Vue.js",7.4,JavaScript Specialist,Social Media Feed Web Application,Web Developer
M.Sc,"R, Python, SQL, NumPy, Pandas, Matplotlib, Scikit-learn",2.0,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
M.Sc,"Node.js, REST API, MongoDB, JavaScript, Vue.js, TypeScript",0.3,Full Stack Web Development Bootcamp,Portfolio Showcase with Dynamic Theming,Web Developer
B.Tech,"GCP, AWS, Python, Terraform, CI/CD, Cloud Architecture, Docker",4.6,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
MCA,"TensorFlow, Python, PyTorch, Scikit-learn, MLOps",8.5,None,Autonomous Driving Lane Detection,Machine Learning Engineer
M.Tech,"Next.js, JavaScript, HTML, Flask, React, Node.js",2.1,None,Portfolio Showcase with Dynamic Theming,Web Developer
B.Tech,"Python, C++, Java, Data Structures, Unit Testing, REST API, Git",0.4,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
M.Tech,"Deep Learning, CUDA, TensorFlow, NLP, Docker, Python, FastAPI, PyTorch",5.2,DeepLearning.AI TensorFlow Developer,Autonomous Driving Lane Detection,Machine Learning Engineer
B.Tech,"Azure, Linux, Terraform, GCP, CI/CD, Jenkins",9.9,Microsoft Azure Fundamentals,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.Tech,"Tableau, Excel, NumPy, Power BI, Data Analysis, Google Analytics, Data Visualization",0.5,Microsoft Certified Data Analyst,Marketing Campaign ROI Tracker,Data Analyst
MCA,"Metasploit, Linux, Wireshark, Python, Burp Suite, Firewall",7.8,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.Sc,"Algorithms, Linux, Python, Java, C++, OOP, .NET",0.4,Oracle Certified Java Professional,Inventory and Billing Management Software,Software Developer
BCA,"Terraform, AWS, CI/CD, Cloud Architecture, Networking, Linux, Azure, GCP",6.3,AWS Solutions Architect Associate,Disaster Recovery Infrastructure as Code,Cloud Engineer
BCA,"SQL, MySQL, Excel, Python",8.1,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
M.S,"REST API, JavaScript, Node.js, Tailwind",7.8,None,Portfolio Showcase with Dynamic Theming,Web Developer
BCA,"HTML, MongoDB, CSS, React, Angular",1.4,JavaScript Specialist,Blog CMS with Markdown Support,Web Developer
M.Tech,".NET, Git, MySQL, Java, C++, Data Structures",7.4,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
B.E,"Express, Tailwind, HTML, JavaScript",9.1,Full Stack Web Development Bootcamp,Social Media Feed Web Application,Web Developer
M.Tech,"Python, Terraform, Linux, CI/CD",3.6,Google Associate Cloud Engineer,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.Sc,"SQL, Statistics, Python, Machine Learning, Pandas, TensorFlow",7.7,TensorFlow Developer Certificate,Healthcare Fraud Detection Engine,Data Scientist
M.Tech,"Tableau, PostgreSQL, NumPy, Python, Data Visualization",7.0,Google Data Analytics Certificate,Sales Performance Interactive Dashboard,Data Analyst
BCA,"Terraform, Docker, AWS, Python, Networking, Linux, Kubernetes",3.5,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.Tech,"CI/CD, Terraform, Python, Microservices, Kubernetes",0.4,Microsoft Azure Fundamentals,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Sc,"Nmap, Penetration Testing, Wireshark, Cybersecurity, Firewall, Ethical Hacking, SOC",5.0,CompTIA CySA+,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
B.E,"Model Deployment, Scikit-learn, Machine Learning, Kubernetes, MLOps, Deep Learning, Docker",6.4,DeepLearning.AI TensorFlow Developer,Autonomous Driving Lane Detection,Machine Learning Engineer
M.Sc,"Big Data, Seaborn, SQL, NLP, Python, Scikit-learn",7.8,Google Data Analytics,Credit Risk Scoring Algorithm,Data Scientist
MCA,"MLOps, TensorFlow, Docker, Scikit-learn, NLP, Machine Learning, CUDA, Python",6.6,GCP Professional ML Engineer,Autonomous Driving Lane Detection,Machine Learning Engineer
M.Sc,"Excel, Power BI, SQL, Business Intelligence",7.6,Google Data Analytics Certificate,Customer Segmentation and Cohort Study,Data Analyst
BCA,"NLP, Scikit-learn, Docker, PyTorch, Python",0.2,AWS Certified Machine Learning Specialty,Real-time Object Detection with YOLO,Machine Learning Engineer
B.E,"Big Data, SQL, Pandas, R, Scikit-learn, Deep Learning, Python, Machine Learning",4.5,TensorFlow Developer Certificate,Sentiment Analysis on Product Reviews,Data Scientist
M.Tech,"PyTorch, Scikit-learn, Deep Learning, AWS, CUDA",5.5,DeepLearning.AI TensorFlow Developer,Autonomous Driving Lane Detection,Machine Learning Engineer
BCA,"Big Data, Python, Statistics, SQL, R, TensorFlow, Pandas, Machine Learning",7.7,TensorFlow Developer Certificate,Sentiment Analysis on Product Reviews,Data Scientist
M.Tech,"Machine Learning, Python, Scikit-learn, TensorFlow, Kubernetes, Deep Learning",3.7,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
M.S,"Scikit-learn, PyTorch, Machine Learning, Python, Matplotlib",0.7,None,Healthcare Fraud Detection Engine,Data Scientist
MCA,"Wireshark, Firewall, Bash, Linux, Penetration Testing",0.1,CompTIA Security+,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
B.Sc,"Statistics, Tableau, SQL, Python, TensorFlow, Pandas",8.3,IBM Data Science Professional,House Price Forecasting Pipeline,Data Scientist
M.Sc,"AWS, Docker, Prometheus, CI/CD, Terraform",0.3,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
BCA,"Ethical Hacking, Python, SOC, Burp Suite, Nmap, Network Security, Firewall",6.3,Certified Ethical Hacker (CEH),Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.E,"Deep Learning, Python, AWS, Machine Learning, Computer Vision",5.7,GCP Professional ML Engineer,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Tech,"Algorithms, Python, C++, .NET, Unit Testing, Data Structures, Git",6.2,AWS Certified Developer,Peer-to-Peer Chat Engine,Software Developer
M.Sc,"Docker, Python, PyTorch, TensorFlow, Machine Learning, CUDA, AWS, NLP",3.9,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
BCA,"Computer Vision, Machine Learning, CUDA, Docker, Python",2.8,None,Edge AI Device Defect Classifier,Machine Learning Engineer
M.Sc,"Data Structures, Linux, Java, REST API, Algorithms, Docker, Python, C++",6.7,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
BCA,"NLP, PyTorch, Deep Learning, Computer Vision, Scikit-learn",1.0,None,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
MCA,"NumPy, Python, Scikit-learn, Spark, SQL, Machine Learning, PyTorch, Tableau",1.8,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
MCA,"HTML, Express, CSS, React, Node.js, Django, Angular",3.4,None,Restaurant Food Ordering Web App,Web Developer
BCA,"NLP, Docker, Machine Learning, TensorFlow, Scikit-learn, Python",4.4,AWS Certified Machine Learning Specialty,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
BCA,"PyTorch, Statistics, NLP, NumPy, SQL, Scikit-learn",2.7,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
B.Tech,"HTML, CSS, Bootstrap, JavaScript, Express, Flask, REST API",6.1,Meta Front-End Developer Certificate,Social Media Feed Web Application,Web Developer
M.S,"Machine Learning, Computer Vision, Deep Learning, Kubernetes, Docker",9.7,None,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
M.S,"SQL, TensorFlow, Machine Learning, NumPy, Statistics",1.0,IBM Data Science Professional,Sentiment Analysis on Product Reviews,Data Scientist
B.E,"Scikit-learn, Machine Learning, Model Deployment, Deep Learning, NLP, CUDA, PyTorch",1.7,None,Transformer-based Chatbot Engine,Machine Learning Engineer
BCA,"Pandas, Deep Learning, NumPy, Scikit-learn, Statistics, Spark",4.5,Google Data Analytics,Recommendation System for E-Commerce,Data Scientist
M.Tech,"Docker, Deep Learning, Python, FastAPI, Scikit-learn, Machine Learning, Model Deployment",7.3,AWS Certified Machine Learning Specialty,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.E,"PostgreSQL, Node.js, JavaScript, CSS, HTML, React",5.0,Meta Front-End Developer Certificate,Restaurant Food Ordering Web App,Web Developer
B.Sc,"HTML, Express, JavaScript, Node.js, Angular, REST API, TypeScript, Bootstrap",2.7,Full Stack Web Development Bootcamp,Social Media Feed Web Application,Web Developer
B.E,"CSS, Flask, Tailwind, HTML, Vue.js, Express, JavaScript",3.8,Full Stack Web Development Bootcamp,Portfolio Showcase with Dynamic Theming,Web Developer
BCA,"CI/CD, AWS, GCP, Terraform, Kubernetes, Linux",8.7,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.Sc,"R, Power BI, Pandas, Data Visualization, Tableau, Python",0.5,None,Customer Segmentation and Cohort Study,Data Analyst
B.Tech,"SOC, Ethical Hacking, Cybersecurity, Wireshark, Metasploit, Penetration Testing",5.8,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.Tech,"Seaborn, Python, Machine Learning, R, SQL, Big Data",9.0,None,Customer Churn Prediction Model,Data Scientist
M.S,"Python, SIEM, Bash, Linux, Ethical Hacking, Nmap, Wireshark, Cybersecurity",4.6,CompTIA CySA+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.S,"Cloud Architecture, Jenkins, Ansible, Prometheus, CI/CD, Terraform",7.1,Certified Kubernetes Administrator (CKA),Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.Tech,"Data Structures, Git, Unit Testing, Algorithms",7.3,None,Peer-to-Peer Chat Engine,Software Developer
B.Sc,"OOP, Python, Docker, Java, Data Structures, C++",2.0,None,Multi-threaded File Downloader,Software Developer
B.Tech,"Nmap, Burp Suite, SIEM, Ethical Hacking, Firewall",8.1,Certified Ethical Hacker (CEH),Intrusion Detection System with Snort,Cybersecurity Analyst
B.E,"Docker, Kubernetes, Linux, Ansible, CI/CD, Bash, Networking",0.5,Google Associate Cloud Engineer,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.S,"SQL, Python, Statistics, Excel",2.7,None,Customer Segmentation and Cohort Study,Data Analyst
M.S,"Algorithms, Git, SQL, .NET, OOP, C++",5.6,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
M.Sc,"CSS, HTML, MongoDB, JavaScript, Node.js",4.5,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
M.Tech,"Tailwind, CSS, JavaScript, HTML, REST API, TypeScript, Node.js",0.5,Meta Front-End Developer Certificate,Social Media Feed Web Application,Web Developer
B.E,"Excel, MySQL, Data Visualization, Data Analysis, Python",2.9,Google Data Analytics Certificate,HR Employee Attrition Insights,Data Analyst
B.E,"JavaScript, REST API, Node.js, CSS, Django",2.0,Full Stack Web Development Bootcamp,Blog CMS with Markdown Support,Web Developer
M.Tech,"Spring Boot, Data Structures, Python, .NET, Docker, Algorithms, C++",5.4,None,Distributed Cache Mechanism,Software Developer
BCA,"Google Analytics, Data Visualization, PostgreSQL, SQL, Pandas, Excel",7.7,Microsoft Certified Data Analyst,Financial Quarterly KPI Visualization,Data Analyst
MCA,"Data Analysis, SQL, PostgreSQL, Tableau",1.6,Microsoft Certified Data Analyst,Financial Quarterly KPI Visualization,Data Analyst
M.Tech,"Burp Suite, Nmap, Wireshark, Firewall, Cybersecurity, Metasploit, Linux",1.0,None,Web Application Penetration Testing Report,Cybersecurity Analyst
B.E,"PostgreSQL, Express, HTML, JavaScript, React, REST API",8.4,JavaScript Specialist,Real-time Collaborative Whiteboard,Web Developer
M.Sc,"Ethical Hacking, Burp Suite, Firewall, Wireshark, Network Security, Nmap, Python",7.0,CompTIA CySA+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.Tech,"React, TypeScript, CSS, Angular, Node.js, REST API, Tailwind",3.4,None,Social Media Feed Web Application,Web Developer
M.S,"C++, SQL, Java, Data Structures",7.3,None,Inventory and Billing Management Software,Software Developer
B.E,"Cybersecurity, Cryptography, Network Security, Wireshark, Ethical Hacking, Linux",4.9,CompTIA CySA+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.Tech,"Cybersecurity, Network Security, Cryptography, Vulnerability Assessment, Linux",1.3,CompTIA Security+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.Tech,"Terraform, AWS, Linux, Cloud Architecture, Ansible, Prometheus, Docker",2.8,Certified Kubernetes Administrator (CKA),Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
B.Sc,"Wireshark, Linux, Metasploit, Bash, Nmap, Python",7.7,None,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Tech,"SQL, Spark, R, Pandas, Statistics",2.6,None,Customer Churn Prediction Model,Data Scientist
B.Sc,"Linux, Ethical Hacking, Firewall, Cybersecurity, Python",7.0,CompTIA Security+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.S,"Cybersecurity, Nmap, Penetration Testing, Vulnerability Assessment, Wireshark, SOC",2.6,None,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
MCA,"Python, PostgreSQL, Power BI, Data Visualization, R",8.3,Tableau Desktop Specialist,Supply Chain Inventory Analysis,Data Analyst
M.S,"Deep Learning, SQL, Python, Machine Learning, Statistics, Seaborn, Big Data",5.5,Google Data Analytics,Sentiment Analysis on Product Reviews,Data Scientist
BCA,"Ansible, CI/CD, Kubernetes, Networking, Docker, Jenkins, Cloud Architecture",6.8,Google Associate Cloud Engineer,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.Tech,"Git, Java, MySQL, C++, OOP",6.7,None,Peer-to-Peer Chat Engine,Software Developer
B.E,"TensorFlow, Python, Machine Learning, PyTorch, FastAPI, Pandas, Deep Learning",3.0,GCP Professional ML Engineer,Transformer-based Chatbot Engine,Machine Learning Engineer
M.S,"Pandas, Scikit-learn, Model Deployment, Deep Learning, Machine Learning, TensorFlow",0.8,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
BCA,"Python, Algorithms, OOP, Unit Testing, Git, Java, Design Patterns",9.6,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
B.Tech,"Jenkins, Kubernetes, AWS, Python, Azure, Cloud Architecture, Docker, CI/CD",5.4,Google Associate Cloud Engineer,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Sc,"Penetration Testing, Ethical Hacking, Linux, Network Security, Firewall, Cybersecurity",9.2,None,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
BCA,"TensorFlow, Machine Learning, Deep Learning, MLOps, Docker, PyTorch",1.7,AWS Certified Machine Learning Specialty,Edge AI Device Defect Classifier,Machine Learning Engineer
